All songs with albums
Bottle Up And Go                                   | Boom Boom           
Hittin' The Bottle Again                           | Boom Boom           
I Ain't Gonna Suffer No More                       | Boom Boom           
I'm Bad Like Jesse James                           | Boom Boom           
Same Old Blue Again                                | Boom Boom           
Sugar Mama                                         | Boom Boom           
Thought I Heard                                    | Boom Boom           
Trick Bag (Shoppin' For My Tombstone)              | Boom Boom           
Born Again (LP Version)                            | Born Again          
Digital Bitch (LP Version)                         | Born Again          
Disturbing The Priest (LP Version)                 | Born Again          
Hot Line (LP Version)                              | Born Again          
